Date;Last
21-8-1975;21,115
22-8-1975;21,061
26-8-1975;21,093
27-8-1975;21,097
28-8-1975;21,097
29-8-1975;21,101
1-9-1975;2,107
2-9-1975;21,088
3-9-1975;21,119
4-9-1975;21,079
5-9-1975;21,088
8-9-1975;21,101
9-9-1975;21,128
10-9-1975;21,101
11-9-1975;21,101
12-9-1975;2,107
15-9-1975;21,039
16-9-1975;2,089
17-9-1975;20,812
18-9-1975;2,079
19-9-1975;20,799
22-9-1975;20,721
23-9-1975;20,442
24-9-1975;20,429
25-9-1975;20,479
26-9-1975;2,045
29-9-1975;20,358
30-9-1975;20,429
1-10-1975;20,392
2-10-1975;20,392
3-10-1975;20,371
6-10-1975;20,429
7-10-1975;20,421
8-10-1975;20,429
9-10-1975;20,479
10-10-1975;2,058
13-10-1975;20,602
14-10-1975;20,471
15-10-1975;20,559
16-10-1975;20,559
17-10-1975;20,559
20-10-1975;20,602
21-10-1975;2,061
22-10-1975;20,751
23-10-1975;20,678
24-10-1975;20,691
27-10-1975;20,678
28-10-1975;2,067
29-10-1975;20,678
30-10-1975;20,738
31-10-1975;20,781
3-11-1975;20,738
4-11-1975;2,07
5-11-1975;2,064
6-11-1975;20,691
7-11-1975;20,631
10-11-1975;20,661
11-11-1975;20,631
12-11-1975;2,064
13-11-1975;2,058
14-11-1975;20,442
17-11-1975;20,342
18-11-1975;20,371
19-11-1975;20,408
20-11-1975;20,458
21-11-1975;20,408
24-11-1975;20,392
25-11-1975;20,379
26-11-1975;20,321
27-11-1975;2,03
28-11-1975;20,202
1-12-1975;20,202
2-12-1975;2,021
3-12-1975;20,231
4-12-1975;2,028
5-12-1975;20,251
8-12-1975;20,218
9-12-1975;20,218
10-12-1975;20,231
11-12-1975;2,021
12-12-1975;20,182
15-12-1975;20,169
16-12-1975;2,019
17-12-1975;20,231
18-12-1975;20,218
19-12-1975;20,169
22-12-1975;20,202
23-12-1975;20,218
24-12-1975;20,231
29-12-1975;20,218
30-12-1975;20,239
31-12-1975;20,231
2-1-1976;20,239
5-1-1976;20,321
6-1-1976;20,309
7-1-1976;20,342
8-1-1976;20,342
9-1-1976;20,309
12-1-1976;20,321
13-1-1976;20,239
14-1-1976;20,272
15-1-1976;20,272
16-1-1976;2,028
19-1-1976;20,329
20-1-1976;20,309
21-1-1976;20,231
22-1-1976;20,202
23-1-1976;20,231
26-1-1976;20,251
27-1-1976;20,251
28-1-1976;20,288
